2022-9-19	14-41-45	NEW	37574	4501606948_8733_1_1	4501606948	8733	1	1	FULGAR LANKA	GYMSHARK	33/34/1 NY 66_SD_S	5000000433	S	7556/LT86	2916	6	6	0	6	213.37	213.37	0	213.37
2022-9-19	14-42-25	NEW	37574	4501606948_8734_1_1	4501606948	8734	1	1	FULGAR LANKA	GYMSHARK	33/34/1 NY 66_SD_Z	5000000434	Z	7556/LT86	2916	6	6	0	6	210.05	210.05	0	210.05
2022-9-19	19-24-47	NEW	37550	4501522148_8754_1_1	4501522148	8754	1	1	FULGAR LANKA	LULULEMON	22/20/1 NY 66_SD_S	5000000254	S	7559/LT99	2921	12	12	0	12	427.58	427.58	0	427.58
2022-9-19	19-26-30	NEW	37550	4501599803_8752_1_1	4501599803	8752	1	1	FULGAR LANKA	LULULEMON	FLS 155TG_S	5000000236	S	7621/FP60558R/LT100	2923	40	20	0	20	790.58	403.92	0	403.92
2022-9-19	19-26-37	NEW	37550	4501599803_8752_2_1	4501599803	8752	2	1	FULGAR LANKA	LULULEMON	FLS 155TG_S	5000000236	S	7621/FP60558R/LT100	2923	40	20	0	20	790.58	386.66	0	386.66
2022-9-19	19-27-34	NEW	37550	4501599803_8753_1_1	4501599803	8753	1	1	FULGAR LANKA	LULULEMON	FLS 155TG_Z	5000000237	Z	7621/FP60558R/LT100	2923	40	20	0	20	823.18	389.7	0	389.7
2022-9-19	19-27-41	NEW	37550	4501599803_8753_2_1	4501599803	8753	2	1	FULGAR LANKA	LULULEMON	FLS 155TG_Z	5000000237	Z	7621/FP60558R/LT100	2923	40	20	0	20	823.18	433.48	0	433.48
2022-9-19	19-48-59	NEW	37550	4501556166_8743_1_1	4501556166	8743	1	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04392	44	13	0	13	616.13	183.87	0	183.87
2022-9-19	19-49-7	NEW	37550	4501556166_8743_2_1	4501556166	8743	2	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04392	44	1	0	1	616.13	14.79	0	14.79
2022-9-19	19-49-14	NEW	37550	4501556166_8743_3_1	4501556166	8743	3	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04392	44	13	0	13	616.13	192.27	0	192.27
2022-9-19	19-49-21	NEW	37550	4501556166_8743_4_1	4501556166	8743	4	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04392	44	13	0	13	616.13	187.95	0	187.95
2022-9-19	19-49-29	NEW	37550	4501556166_8743_5_1	4501556166	8743	5	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04392	44	4	0	4	616.13	37.25	0	37.25
2022-9-19	19-51-13	NEW	37550	4501602488_8745_1_1	4501602488	8745	1	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04393	20	20	0	20	280.97	280.97	0	280.97
